"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C3,C8,C10","4","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C4","1","470uF","","","","Capacitor_SMD:CP_Elec_10x10.5","~"
"C5","1","220uF","","","","Capacitor_SMD:C_Elec_6.3x7.7","~"
"C6","1","22uF","","","","Capacitor_SMD:CP_Elec_4x5.4","~"
"C7","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C11","1","22uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C12","1","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","SS54","","","","Diode_SMD:D_SMC","http://www.vishay.com/docs/88526/1n5820.pdf"
"J1","1","Input power","","","","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal","~"
"J2","1","Conn_01x02_Pin","","","","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","~"
"J3","1","Motor","","","","TerminalBlock:TerminalBlock_Xinya_XY308-2.54-2P_1x02_P2.54mm_Horizontal","~"
"J4","1","Speaker","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J8","1","FwdLED","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J9","1","BackLED","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J10","1","AUX1","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J11","1","AUX2","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J101","1","Conn_01x05","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"L1","1","47uh/L39","","","","Inductor_SMD:L_Bourns_SRP1245A","~"
"R1,R6,R7","3","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2,R3","2","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R4,R5","2","20k","","","","Resistor_SMD:R_0805_2012Metric","~"
"U1","1","LM2596S-5","","","","Package_TO_SOT_SMD:TO-263-5_TabPin3","http://www.ti.com/lit/ds/symlink/lm2596.pdf"
"U3","1","MAX98357A","","","","Package_DFN_QFN:TQFN-16-1EP_3x3mm_P0.5mm_EP1.23x1.23mm","https://www.analog.com/media/en/technical-documentation/data-sheets/MAX98357A-MAX98357B.pdf"
"U4","1","DRV8251A","","","","Package_SO:Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias",""
"U6","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U7","1","ESP32-S3-WROOM-2","","","","RF_Module:ESP32-S3-WROOM-2","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-2_datasheet_en.pdf"
"U8","1","ULN2003A","","","","Package_SO:SO-16_3.9x9.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/uln2003a.pdf"
